model_name,layer_index,pc_index,alpha
eca_nfnet_l0_classification,134,123,202358.96477251555
eca_nfnet_l0_classification,134,124,429193.42601287784
eca_nfnet_l0_classification,134,125,429193.42601287784
eca_nfnet_l0_classification,134,126,202358.96477251555
eca_nfnet_l0_classification,134,127,429193.42601287784
eca_nfnet_l0_classification,134,128,429193.42601287784
eca_nfnet_l0_classification,134,129,202358.96477251555
eca_nfnet_l0_classification,134,130,202358.96477251555
eca_nfnet_l0_classification,134,131,202358.96477251555
eca_nfnet_l0_classification,134,132,202358.96477251555
eca_nfnet_l0_classification,134,133,202358.96477251555
eca_nfnet_l0_classification,134,134,429193.42601287784
eca_nfnet_l0_classification,134,135,429193.42601287784
eca_nfnet_l0_classification,134,136,429193.42601287784
eca_nfnet_l0_classification,134,137,429193.42601287784
eca_nfnet_l0_classification,134,138,429193.42601287784
eca_nfnet_l0_classification,134,139,202358.96477251555
eca_nfnet_l0_classification,134,140,202358.96477251555
eca_nfnet_l0_classification,134,141,429193.42601287784
eca_nfnet_l0_classification,134,142,429193.42601287784
eca_nfnet_l0_classification,134,143,429193.42601287784
eca_nfnet_l0_classification,134,144,429193.42601287784
eca_nfnet_l0_classification,134,145,429193.42601287784
eca_nfnet_l0_classification,134,146,429193.42601287784
eca_nfnet_l0_classification,134,147,429193.42601287784
eca_nfnet_l0_classification,134,148,429193.42601287784
eca_nfnet_l0_classification,134,149,429193.42601287784
eca_nfnet_l0_classification,134,150,202358.96477251555
eca_nfnet_l0_classification,134,151,202358.96477251555
eca_nfnet_l0_classification,134,152,429193.42601287784
eca_nfnet_l0_classification,134,153,429193.42601287784
eca_nfnet_l0_classification,134,154,429193.42601287784
eca_nfnet_l0_classification,134,155,429193.42601287784
eca_nfnet_l0_classification,134,156,429193.42601287784
eca_nfnet_l0_classification,134,157,429193.42601287784
eca_nfnet_l0_classification,134,158,429193.42601287784
eca_nfnet_l0_classification,134,159,202358.96477251555
eca_nfnet_l0_classification,134,160,429193.42601287784
eca_nfnet_l0_classification,134,161,429193.42601287784
eca_nfnet_l0_classification,134,162,202358.96477251555
eca_nfnet_l0_classification,134,163,429193.42601287784
eca_nfnet_l0_classification,134,164,202358.96477251555
eca_nfnet_l0_classification,134,165,429193.42601287784
eca_nfnet_l0_classification,134,166,429193.42601287784
eca_nfnet_l0_classification,134,167,429193.42601287784
eca_nfnet_l0_classification,134,168,429193.42601287784
eca_nfnet_l0_classification,134,169,429193.42601287784
eca_nfnet_l0_classification,134,170,429193.42601287784
eca_nfnet_l0_classification,134,171,429193.42601287784
eca_nfnet_l0_classification,134,172,429193.42601287784
eca_nfnet_l0_classification,134,173,202358.96477251555
eca_nfnet_l0_classification,134,174,429193.42601287784
eca_nfnet_l0_classification,134,175,429193.42601287784
eca_nfnet_l0_classification,134,176,202358.96477251555
eca_nfnet_l0_classification,134,177,429193.42601287784
